Complete Meal,Ingredients,Quantities
"Red Rice with Devilled Fish, Fenugreek Curry, Garlic curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Fenugreek,  Coconut milk, Garlic,  Coconut milk","40, 50.0, 25.0, 10.0, 20.0, 50.0, 25.0, 50.0, 20.0"
"Red Rice with Parippu, Bottle Gourd Curry, Devilled Beef","Red rice, Dhal,  Coconut milk, Termeric powder, Bottle gourd,  Chillies, Beef,  Oil","40, 10.0, 35.0, 5.0, 50.0, 15.0, 80.0, 30.0"
"Red Rice with Devilled Fish, Garlic curry, Devilled Beef","Red rice, Fish,  Chili,  Curry leaves, Onion, Garlic,  Coconut milk, Beef,  Oil","40, 50.0, 20.0, 10.0, 20.0, 50.0, 20.0, 80.0, 30.0"
"Red Rice with Fish Ambul Thiyal, Jackfruit Curry, Beetroot Curry","Red rice, Fish,  Goraka,  Spices, Jackfruit,  Coconut milk, curry leaves, Beetroot","40, 80.0, 10.0, 15.0, 15.0, 30.0, 7.0, 30.0"
"Red Rice with Lotus Root Curry, Pineapple Pickle, Cauliflower Pickle","Red rice, Lotus root,  Coconut milk,  Chillies, Pineapple,  pepper, Cauliflower,  Oil,  Garlic","40, 50.0, 25.0, 10.0, 50.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Eggplant Curry, Mustard Greens Curry, Carrot curry","Red rice, Eggplant,  Spices,  Coconut milk, Mustard greens,  Coconut milk,  Chillies, Carrot,  chillies, curry leaves","40, 30.0, 2.0, 30.0, 50.0, 25.0, 10.0, 50.0, 10.0, 5.0"
"Red Rice with Kohila Curry, Collard Greens Curry, Tropical Salad","Red rice, Kohila,  Coconut milk,  Chillies, Collard greens,  Chillies, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 50.0, 10.0, 50.0, 10.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Brinjal Moju, Jaffna Crab Curry, Indian Fish Curry","Red rice, Eggplant,  Vinegar,  Spices, Crab,  Coconut milk,  Chillies, Fish,  Coconut milk","40, 30.0, 40.0, 30.0, 50.0, 25.0, 20.0, 60.0, 30.0"
"Red Rice with Fish Patties, Egg Curry, Jaffna Crab Curry","Red rice, Fish,  Flour,  Oil, Egg,  Coconut milk,  Chillies, Crab","40, 40.0, 30.0, 30.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Papaya Curry, Egg Curry, Kappa Masala","Red rice, Papaya,  Coconut milk,  Spices, Egg,  Coconut milk,  Chillies, Cassava","40, 50.0, 50.0, 10.0, 50.0, 25.0, 10.0, 60.0"
"Red Rice with Pol Sambol, Soya Meat Curry, Sprats Fry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Soya meat,  Chillies, Dried fish,  Oil","40, 75.0, 15.0, 10.0, 3.0, 3.0, 50.0, 10.0, 40.0, 20.0"
"Red Rice with Pineapple Pickle, Coconut Sambol, Chickpea Salad","Red rice, Pineapple,  pepper, Coconut,  Chili,  Onion, Chickpeas,  Carrot,  Cabbage","40, 50.0, 10.0, 50.0, 15.0, 20.0, 60.0, 30.0, 30.0"
"Red Rice with Malu Mirisata, Devilled Fish, Pumpkin Leaves Curry","Red rice, Fish,  Chili,  curry leaves, Fish, Onion, Pumpkin leaves,  Coconut milk","40, 50.0, 25.0, 8.0, 50.0, 20.0, 50.0, 25.0"
"Red Rice with Elumas Curry, Devilled Chicken, Dry Fish Curry","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Chicken,  Chili, Onion, Dry fish,  Coconut milk,  Chillies","40, 50.0, 20.0, 5.0, 12.0, 50.0, 5.0, 20.0, 50.0, 25.0, 10.0"
"Red Rice with Jaffna Crab Curry, Capsicum Curry, Garlic curry","Red rice, Crab,  Coconut milk,  Chillies, Garlic,  Coconut milk,  curry leaves ","40, 100.0, 50.0, 30.0, 50.0, 20.0, 5.0"
"Red Rice with Tapioca Chips, Carrot Sambol, Indian Fish Curry","Red rice, Tapioca,  Oil,  Salt, Carrot,  Coconut,  pepper, Fish,  Coconut milk,  chillies","40, 50.0, 20.0, 10.0, 50.0, 10.0, 5.0, 60.0, 30.0, 10.0"
"Red Rice with Brinjal Moju, Ginger Chicken, Jackfruit Mallum","Red rice, Eggplant,  Vinegar,  Spices, Chicken,  Ginger,  Chillies, Jackfruit,  Coconut","40, 30.0, 40.0, 30.0, 50.0, 25.0, 10.0, 60.0, 30.0"
"Red Rice with Devilled Chicken, Murunga Curry, Green Pea Curry","Red rice, Chicken,  Chili,  Curry leaves, Onion, Drumstick,  Coconut milk,  Spices, Green pea,  Coconut milk","40, 50.0, 15.0, 10.0, 20.0, 50.0, 25.0, 10.0, 50.0, 25.0"
"Red Rice with Dhal Curry, Collard Greens Curry, Fish Cutlets","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Collard greens,  Coconut milk,  Chillies, Fish,  Potatoes","40, 80.0, 10.0, 5.0, 5.0, 50.0, 25.0, 20.0, 30.0, 50.0"
"Red Rice with Bean Curry, Kohila Curry, Murukku","Red rice, Beans,  Coconut milk,  Spices, Kohila,  Coconut milk,  Chillies, flour,  Chillies","40, 30.0, 40.0, 30.0, 50.0, 25.0, 10.0, 50.0, 20.0"
"Red Rice with Okra Curry, Seer Fish Curry, Capsicum Curry","Red rice, Okra,  Coconut milk,  Chillies, Seer fish, Capsicum","40, 50.0, 75.0, 30.0, 50.0, 50.0"
"Red Rice with Parippu, Bathala Curry, Dry Fish Curry","Red rice, Dhal,  Coconut milk, Termeric powder, Sweet potato,  Spices, curry leaves, Dry fish,  Coconut milk,  Chillies","40, 10.0, 30.0, 5.0, 50.0, 5.0, 3.0, 50.0, 25.0, 10.0"
"Red Rice with Mango Curry, Bottle Gourd Curry, Tapioca Chips","Red rice, Mango,  Coconut milk,  Spices, Bottle gourd,  Chillies, Tapioca,  Oil,  Salt","40, 50.0, 50.0, 10.0, 50.0, 10.0, 50.0, 20.0, 10.0"
"Red Rice with Devilled Fish, Ala Badun, Capsicum Curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Potato,  Oil, chilli, Capsicum,  Coconut milk","40, 50.0, 15.0, 5.0, 50.0, 40.0, 10.0, 5.0, 50.0, 25.0"
"Red Rice with Okra Curry, Sesame Seed Sambol, Devilled Beef","Red rice, Okra,  Coconut milk,  Chillies, Sesame seed,  Onion, Beef,  Oil","40, 50.0, 25.0, 40.0, 50.0, 10.0, 80.0, 30.0"
"Red Rice with Fish Curry, Dhal Vade, Shrimp Cutlets","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Lentils,  chillie,  Oil, Shrimp,  Potatoes,  flour","40, 50.0, 20.0, 3.0, 2.0, 50.0, 15.0, 30.0, 30.0, 50.0, 20.0"
"Red Rice with Gotu Kola Sambol, Cabbage Mallung, Devilled Beef","Red rice, Gotu Kola,  Coconut,  Onion, Cabbage,  Spices, Beef,  Oil,  chillies","40, 10.0, 25.0, 15.0, 20.0, 5.0, 80.0, 30.0, 5.0"
"Red Rice with Jaffna Crab Curry, Coriander Sambol, Fish Curry","Red rice, Crab,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Fish, curry leaves","40, 50.0, 25.0, 10.0, 63.0, 50.0, 5.0, 50.0, 2.0"
"Red Rice with Ash Plantain Curry, Ulundu Wade, Polos Mallum","Red rice, Ash plantain,  Coconut milk,  Chillies, Urad,  flour,  Oil, Jackfruit,  oil","40, 50.0, 55.0, 10.0, 30.0, 40.0, 20.0, 50.0, 5.0"
"Red Rice with Gotu Kola Sambol, Cauliflower Pickle, Sprats Fry","Red rice, Gotu Kola,  Coconut,  Onion, Cauliflower,  Oil,  Garlic, Dried fish,  Chillies","40, 10.0, 15.0, 15.0, 100.0, 70.0, 20.0, 40.0, 10.0"
"Red Rice with Beetroot curry, Polos Ambula, Chickpea Salad","Red rice, Beetroot,  Coconut milk,  chillies, curry leaves, Jackfruit, Chickpeas,  Carrot,  Cabbage","40, 70.0, 60.0, 20.0, 20.0, 80.0, 60.0, 30.0, 30.0"
"Red Rice with Cashew Curry, Collard Greens Curry, Kiri Hodi","Red rice, Cashew,  Coconut milk,  Chillies, Collard greens,  Chillies, Coconut milk","40, 50.0, 50.0, 10.0, 50.0, 10.0, 60.0"
"Red Rice with Jackfruit Curry, Ginger Chicken, Pumpkin curry","Red rice, Jackfruit,  Coconut milk, curry leaves, Chicken,  Ginger,  Chillies, Pumpkin","40, 15.0, 30.0, 10.0, 50.0, 25.0, 20.0, 60.0"
"Red Rice with Potato Curry, Tomato Curry, Bottle Gourd Curry","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Tomato,  Chillies, Bottle gourd,  Chillies","40, 20.0, 80.0, 10.0, 5.0, 2.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Fenugreek Curry, Coconut Sambol, Maalu Badun","Red rice, Fenugreek,  Coconut milk,  Chillies, Coconut,  Chili,  Onion, Fish,  Oil","40, 50.0, 25.0, 10.0, 50.0, 15.0, 20.0, 90.0, 15.0"
"Red Rice with Soya Meat Curry, Kohila Curry, Fish Curry","Red rice, Soya meat,  Coconut milk,  Chillies, Kohila,  Coconut milk,  Chillies, Fish,  Spices, curry leaves","40, 50.0, 45.0, 10.0, 50.0, 25.0, 10.0, 50.0, 3.0, 2.0"
"Red Rice with Dhal Curry, Sesame Seed Sambol, Maalu Badun","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Sesame seed,  Chili,  Onion, Fish,  Oil","40, 80.0, 10.0, 5.0, 5.0, 50.0, 25.0, 10.0, 90.0, 15.0"
"Red Rice with Cuttlefish Curry, Beef Curry, Polos Mallum","Red rice, Cuttlefish,  Coconut milk,  Spices, Beef,  Coconut milk,  Chillies, Jackfruit,  oil","40, 50.0, 55.0, 10.0, 60.0, 25.0, 10.0, 50.0, 5.0"
"Red Rice with Soya Meat Curry, Dhal Vade, Maalu Badun","Red rice, Soya meat,  Coconut milk,  Chillies, Lentils,  chillie,  Oil, Fish","40, 50.0, 25.0, 10.0, 50.0, 15.0, 45.0, 90.0"
"Red Rice with Chicken Curry, Soya Meat Curry, Green Pea Curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Soya meat,  Coconut milk,  Chillies, Green pea,  Chillies","40, 50.0, 45.0, 5.0, 3.0, 50.0, 25.0, 10.0, 50.0, 10.0"
"Red Rice with potatoe cheese Balls, Kappa Masala, Indian Fish Curry","Red rice, cheese,  Potatoes,  pepper, Cassava,  Coconut, Fish,  chillies","40, 30.0, 60.0, 10.0, 60.0, 55.0, 60.0, 10.0"
"Red Rice with Cabbage Mallung, Maalu Badun, Chickpea Salad","Red rice, Cabbage,  Coconut,  Spices, Fish,  Oil, Chickpeas,  Carrot","40, 50.0, 10.0, 5.0, 90.0, 15.0, 60.0, 30.0"
"Red Rice with Egg Curry, Coriander Sambol, Polos Mallum","Red rice, Egg,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Jackfruit,  oil","40, 50.0, 25.0, 10.0, 60.0, 60.0, 5.0, 50.0, 5.0"
"Red Rice with Fish Curry, Vegetable Cutlets, Maalu Badun","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Carrot,  Potatoes,  Chillies, Fish,  Oil","40, 50.0, 20.0, 3.0, 2.0, 30.0, 40.0, 10.0, 90.0, 15.0"
"Red Rice with Sesame Seed Sambol, Jaffna Crab Curry, Devilled Beef","Red rice, Sesame seed,  Chili,  Onion, Crab,  Coconut milk, Beef,  Oil","40, 50.0, 40.0, 10.0, 50.0, 25.0, 80.0, 30.0"
"Red Rice with Leeks Curry, Mint Sambol, Dhal Vade","Red rice, Leeks,  Coconut milk,  Chillies, Mint,  pepper, Lentils,  Oil","40, 50.0, 55.0, 25.0, 60.0, 5.0, 50.0, 30.0"
"Red Rice with Ulundu Wade, Garlic curry, Pineapple Pickle","Red rice, Urad,  flour,  Oil, Garlic,  Coconut milk,  chillies,  curry leaves , Pineapple,  pepper","40, 30.0, 40.0, 20.0, 50.0, 20.0, 10.0, 5.0, 50.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Vegetable Cutlets, Coriander Sambol","Red rice, Fish,  Goraka,  Spices, Carrot,  Potatoes,  Chillies,  Coconut,  pepper","40, 80.0, 10.0, 70.0, 30.0, 40.0, 10.0, 30.0, 5.0"
"Red Rice with Papaya Curry, Green Banana Curry, Fish Patties","Red rice, Papaya,  Coconut milk,  Spices, Green banana,  Coconut milk,  Chillies, Fish,  Flour,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 40.0, 30.0, 30.0"
"Red Rice with Bitter Leaf Curry, Ginger Chicken, Tropical Salad","Red rice, Bitter leaves,  Coconut milk,  Chillies, Chicken,  Ginger, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 25.0, 20.0, 50.0, 25.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Bitter Gourd Salad, Chickpea Curry, Bottle Gourd Curry","Red rice, Bitter gourd,  Coconut, Chickpea,  Chillies, Bottle gourd,  Chillies","40, 50.0, 85.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Devilled Fish, Capsicum Curry, Polos Mallum","Red rice, Fish,  Chili,  Curry leaves, Onion, Capsicum,  Coconut milk, Jackfruit,  Coconut,  oil","40, 50.0, 15.0, 5.0, 20.0, 50.0, 25.0, 50.0, 30.0, 5.0"
"Red Rice with Drumstick Curry, Spinach Curry, Kochchi Sambol","Red rice, Drumstick,  Coconut milk,  Spices, Spinach,  Coconut milk, Green chili","40, 50.0, 50.0, 35.0, 30.0, 40.0, 10.0"
"Red Rice with Jackfruit Curry, Cabbage Mallung, Radish Sambol","Red rice, Jackfruit,  Coconut milk, curry leaves, Cabbage,  Spices, Radish,  pepper","40, 15.0, 50.0, 5.0, 20.0, 5.0, 60.0, 5.0"
"Red Rice with Gotu Kola Sambol, Bitter Gourd Curry, Snake Gourd Curry","Red rice, Gotu Kola,  Coconut,  Onion, Bitter gourd,  Spices, Snake gourd","40, 10.0, 65.0, 15.0, 50.0, 20.0, 50.0"
"Red Rice with Malu Mirisata, Green Pea Curry, Shrimp Cutlets","Red rice, Fish,  Chili,  curry leaves, Green pea,  Coconut milk, Shrimp,  Potatoes,  flour","40, 50.0, 20.0, 3.0, 50.0, 25.0, 30.0, 50.0, 20.0"
"Red Rice with Lotus Root Curry, Egg Curry, Jaffna Crab Curry","Red rice, Lotus root,  Coconut milk,  Chillies, Egg, Crab","40, 50.0, 75.0, 30.0, 50.0, 50.0"
"Red Rice with Gotu Kola Sambol, Beef Curry, Coconut Sambol","Red rice, Gotu Kola,  Coconut,  Onion, Beef,  Coconut milk,  Chillies,  Chili","40, 10.0, 65.0, 35.0, 60.0, 25.0, 10.0, 15.0"
"Red Rice with Dhal Curry, Vegetable Cutlets, Batu Moju","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Carrot,  Potatoes,  Chillies, Eggplant,  garlic","40, 80.0, 10.0, 5.0, 5.0, 30.0, 40.0, 10.0, 70.0, 15.0"
"Red Rice with Ash Plantain Curry, Carrot Sambol, Dhal Vade","Red rice, Ash plantain,  Coconut milk,  Chillies, Carrot,  Coconut,  pepper, Lentils,  chillie,  Oil","40, 50.0, 25.0, 10.0, 50.0, 10.0, 5.0, 50.0, 15.0, 30.0"
"Red Rice with Pumpkin Leaves Curry, Sesame Seed Sambol, Egg Curry","Red rice, Pumpkin leaves,  Coconut milk,  Chillies, Sesame seed,  Onion, Egg","40, 50.0, 50.0, 45.0, 50.0, 10.0, 50.0"
"Red Rice with Thalapath Fish Curry, Ash Plantain Curry, Maalu Badun","Red rice, Thalapath fish,  Coconut milk,  Spices, Ash plantain,  Chillies, Fish,  Oil","40, 50.0, 50.0, 10.0, 50.0, 10.0, 90.0, 15.0"
"Red Rice with Bitter Gourd Curry, Green Banana Curry, Ginger Chicken","Red rice, Bitter gourd,  Coconut milk,  Spices, Green banana,  Coconut milk,  Chillies, Chicken,  Ginger","40, 50.0, 25.0, 10.0, 50.0, 25.0, 20.0, 50.0, 25.0"
"Red Rice with Drumstick Curry, Green Pea Curry, Tender Jackfruit Fry","Red rice, Drumstick,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Jackfruit,  Oil","40, 50.0, 20.0, 5.0, 50.0, 25.0, 10.0, 90.0, 20.0"
"Red Rice with Fish Curry, Bottle Gourd Curry, Batu Moju","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Bottle gourd,  Chillies, Eggplant,  garlic","40, 50.0, 45.0, 3.0, 2.0, 50.0, 10.0, 70.0, 15.0"
"Red Rice with Green Pea Curry, Vegetable Cutlets, Simmered Fish Roe","Red rice, Green pea,  Coconut milk,  Chillies, Carrot,  Potatoes,  Chillies, Fish,  Oil,  flour","40, 50.0, 25.0, 10.0, 30.0, 40.0, 10.0, 70.0, 30.0, 20.0"
"Red Rice with Chicken Curry, Sesame Seed Sambol, Dry Fish Curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Sesame seed,  Chili,  Onion, Dry fish,  Chillies","40, 50.0, 45.0, 5.0, 3.0, 50.0, 25.0, 10.0, 50.0, 10.0"
"Red Rice with Green Pea Curry, Sweet Corn Curry, Polos Ambula","Red rice, Green pea,  Coconut milk,  Chillies, Sweet corn,  Coconut milk, Jackfruit,  coconut milk,  curry leaves","40, 50.0, 25.0, 30.0, 50.0, 25.0, 80.0, 30.0, 10.0"
"Red Rice with Collard Greens Curry, Beetroot curry, Simmered Fish Roe","Red rice, Collard greens,  Coconut milk,  Chillies, Beetroot,  Coconut milk,  chillies, curry leaves, Fish,  Oil,  flour","40, 50.0, 25.0, 10.0, 70.0, 30.0, 10.0, 10.0, 70.0, 30.0, 20.0"
"Red Rice with Dry Fish Curry, Carrot curry, Polos Ambula","Red rice, Dry fish,  Coconut milk,  Chillies, Carrot,  Coconut milk,  chillies, curry leaves, Jackfruit","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 15.0, 80.0"
"Red Rice with Bean Curry, Seer Fish Curry, Carrot Sambol","Red rice, Beans,  Coconut milk,  Spices, Seer fish,  Coconut milk,  Chillies, Carrot,  pepper","40, 30.0, 40.0, 30.0, 50.0, 35.0, 10.0, 50.0, 5.0"
"Red Rice with Green Banana Curry, Pumpkin curry, Jackfruit Mallum","Red rice, Green banana,  Coconut milk,  Chillies, Pumpkin,  Coconut milk, curry leaves, Jackfruit","40, 50.0, 25.0, 20.0, 60.0, 50.0, 5.0, 60.0"
"Red Rice with Cabbage Mallung, Sesame Seed Sambol, Carrot curry","Red rice, Cabbage,  Coconut,  Spices, Sesame seed,  Chili,  Onion, Carrot, curry leaves","40, 20.0, 30.0, 5.0, 50.0, 35.0, 10.0, 50.0, 5.0"
"Red Rice with Fish Cutlets, Kochchi Sambol, Coconut Sambol","Red rice, Fish,  Potatoes,  Chillies, Green chili,  Coconut,  Onion","40, 30.0, 50.0, 25.0, 10.0, 80.0, 20.0"
"Red Rice with Pol Sambol, Jackfruit Curry, Elumas Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Jackfruit, curry leaves, Goat,  Spices","40, 80.0, 5.0, 10.0, 3.0, 3.0, 15.0, 7.0, 50.0, 5.0"
"Red Rice with Spinach Curry, Coconut Sambol, Mango Chutney","Red rice, Spinach,  Coconut milk,  Spices, Coconut,  Chili,  Onion, Mango,  Vinegar,  sugar","40, 30.0, 40.0, 30.0, 50.0, 15.0, 20.0, 40.0, 10.0, 10.0"
"Red Rice with Gotu Kola Sambol, Eggplant Curry, Bathala Curry","Red rice, Gotu Kola,  Coconut,  Onion, Eggplant,  Spices, Sweet potato, curry leaves","40, 10.0, 45.0, 15.0, 30.0, 7.0, 50.0, 3.0"
"Red Rice with Seer Fish Curry, Fish Cutlets, Sinhala Achcharu","Red rice, Seer fish,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies, Carrot,  onion,  Vinegar","40, 50.0, 25.0, 25.0, 30.0, 50.0, 10.0, 30.0, 35.0, 10.0"
"Red Rice with Green Banana Curry, Octopus Curry, Egg Curry","Red rice, Green banana,  Coconut milk,  Chillies, Octopus, Egg","40, 50.0, 75.0, 30.0, 50.0, 50.0"
"Red Rice with Parippu, Green Gram Curry, Murukku","Red rice, Dhal,  Coconut milk, Termeric powder, Green gram,  Spices, flour,  Chillies","40, 10.0, 35.0, 5.0, 50.0, 10.0, 50.0, 20.0"
"Red Rice with Devilled Fish, Bitter Leaf Curry, Ginger Chicken","Red rice, Fish,  Chili,  Curry leaves, Onion, Bitter leaves,  Coconut milk, Chicken,  Ginger","40, 50.0, 25.0, 5.0, 20.0, 50.0, 25.0, 50.0, 25.0"
"Red Rice with Spinach Curry, Seer Fish Curry, Vegetable Balls","Red rice, Spinach,  Coconut milk,  Spices, Seer fish,  Chillies, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 30.0, 65.0, 30.0, 50.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Dhal Curry, Ala Badun, Soya Meat Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Potato,  Oil, onion, Soya meat,  Chillies","40, 80.0, 35.0, 10.0, 5.0, 40.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Pol Sambol, Potato Curry, Bitter Gourd Salad","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Potato,  Spices, curry leaves, Turmeric Powder, Bitter gourd","40, 115.0, 5.0, 10.0, 3.0, 3.0, 20.0, 10.0, 5.0, 2.0, 50.0"
"Red Rice with Carrot Curry, Green Pea Curry, Jaffna Crab Curry","Red rice, Carrot,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Crab","40, 50.0, 20.0, 5.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Parippu, Bitter Gourd Salad, Garlic curry","Red rice, Dhal,  Coconut milk, Termeric powder, Bitter gourd, Garlic,  chillies,  curry leaves ","40, 10.0, 65.0, 5.0, 50.0, 50.0, 10.0, 5.0"
"Red Rice with Ala Badun, Mustard Greens Curry, Sprats Fry","Red rice, Potato,  Oil, onion, chilli, Mustard greens,  Coconut milk,  Chillies, Dried fish,  Chillies","40, 40.0, 30.0, 30.0, 5.0, 50.0, 25.0, 10.0, 40.0, 10.0"
"Red Rice with Okra Curry, Tender Jackfruit Fry, Chickpea Salad","Red rice, Okra,  Coconut milk,  Chillies, Jackfruit,  Oil, Chickpeas,  Carrot,  Cabbage","40, 50.0, 25.0, 10.0, 90.0, 20.0, 60.0, 30.0, 30.0"
"Red Rice with Murunga Curry, Tomato Curry, Dhal Vade","Red rice, Drumstick,  Coconut milk,  Spices, Tomato,  Chillies, Lentils,  chillie,  Oil","40, 50.0, 50.0, 10.0, 50.0, 10.0, 50.0, 15.0, 30.0"
"Red Rice with Drumstick Curry, Bitter Gourd Curry, Indian Fish Curry","Red rice, Drumstick,  Coconut milk,  Spices, Bitter gourd, Fish,  chillies","40, 50.0, 75.0, 15.0, 50.0, 60.0, 10.0"
"Red Rice with Potato Curry, Green Pea Curry, Cucumber Sambol","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Green pea,  Coconut milk,  Chillies, Cucumber,  pepper","40, 20.0, 60.0, 10.0, 5.0, 2.0, 50.0, 25.0, 10.0, 60.0, 5.0"
"Red Rice with Bathala Curry, Jaffna Crab Curry, Jaffna Crab Curry","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Crab,  Coconut milk,  Chillies","40, 50.0, 20.0, 5.0, 3.0, 100.0, 50.0, 20.0"
"Red Rice with Fish Ambul Thiyal, Green Banana Curry, Cauliflower Pickle","Red rice, Fish,  Goraka,  Spices, Green banana,  Coconut milk,  Chillies, Cauliflower,  Oil,  Garlic","40, 80.0, 10.0, 10.0, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Thalapath Fish Curry, Gotu Kola Sambol, Polos Ambula","Red rice, Thalapath fish,  Coconut milk,  Spices, Gotu Kola,  Onion, Jackfruit,  chillies,  curry leaves","40, 50.0, 70.0, 10.0, 10.0, 15.0, 80.0, 10.0, 10.0"
"Red Rice with Cashew Curry, Fenugreek Curry, Kappa Masala","Red rice, Cashew,  Coconut milk,  Chillies, Fenugreek, Cassava,  Coconut","40, 50.0, 50.0, 20.0, 50.0, 60.0, 25.0"
"Red Rice with Mango Curry, Tomato Curry, Kohila Curry","Red rice, Mango,  Coconut milk,  Spices, Tomato,  Chillies, Kohila,  Coconut milk,  Chillies","40, 50.0, 50.0, 10.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Eggplant Curry, Cashew Curry, Leeks Curry","Red rice, Eggplant,  Spices,  Coconut milk, Cashew,  Coconut milk,  Chillies, Leeks","40, 30.0, 2.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Fish Ambul Thiyal, Leeks Curry, Beetroot curry","Red rice, Fish,  Goraka,  Spices, Leeks,  Coconut milk,  Chillies, Beetroot,  Coconut milk, curry leaves","40, 80.0, 10.0, 10.0, 50.0, 25.0, 20.0, 70.0, 30.0, 10.0"
"Red Rice with Devilled Fish, Beef Curry, Shrimp Cutlets","Red rice, Fish,  Chili,  Curry leaves, Onion, Beef,  Coconut milk, Shrimp,  Potatoes,  flour","40, 50.0, 15.0, 5.0, 20.0, 60.0, 25.0, 30.0, 50.0, 20.0"
"Red Rice with Fish Curry, Octopus Curry, Tropical Salad","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Octopus,  Coconut milk,  Chillies, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 20.0, 3.0, 2.0, 50.0, 25.0, 10.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Devilled Fish, Cuttlefish Curry, Simmered Fish Roe","Red rice, Fish,  Chili,  Curry leaves, Onion, Cuttlefish,  Coconut milk,  Spices, Fish,  Oil,  flour","40, 50.0, 5.0, 5.0, 20.0, 50.0, 25.0, 10.0, 70.0, 30.0, 20.0"
"Red Rice with Pineapple Pickle, Batu Moju, Sprats Fry","Red rice, Pineapple,  pepper, Eggplant,  garlic, Dried fish,  Oil,  Chillies","40, 50.0, 10.0, 70.0, 15.0, 40.0, 20.0, 10.0"
"Red Rice with Ginger Chicken, Mustard Greens Curry, Fish Cutlets","Red rice, Chicken,  Ginger,  Chillies, Mustard greens,  Coconut milk,  Chillies, Fish,  Potatoes","40, 50.0, 25.0, 10.0, 50.0, 25.0, 20.0, 30.0, 50.0"
"Red Rice with Mango Curry, Kohila Curry, Cucumber Sambol","Red rice, Mango,  Coconut milk,  Spices, Kohila,  Coconut milk,  Chillies, Cucumber,  pepper","40, 50.0, 55.0, 10.0, 50.0, 25.0, 10.0, 60.0, 5.0"
"Red Rice with Bitter Gourd Salad, Capsicum Curry, potatoe cheese Balls","Red rice, Bitter gourd,  Coconut, Capsicum,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper","40, 50.0, 35.0, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Red Rice with Octopus Curry, Beef Curry, Indian Fish Curry","Red rice, Octopus,  Coconut milk,  Chillies, Beef, Fish,  Coconut milk","40, 50.0, 50.0, 30.0, 60.0, 60.0, 30.0"
"Red Rice with Cabbage Mallung, Tomato Curry, Mint Sambol","Red rice, Cabbage,  Coconut,  Spices, Tomato,  Chillies, Mint,  Coconut,  pepper","40, 20.0, 35.0, 5.0, 50.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Cuttlefish Curry, Papaya Curry, Mint Sambol","Red rice, Cuttlefish,  Coconut milk,  Spices, Papaya,  Spices, Mint,  Coconut,  pepper","40, 50.0, 50.0, 10.0, 50.0, 10.0, 60.0, 30.0, 5.0"
